id,unique_information
673,nan
674,nan
675,nan
676,nan
677,nan
678,0.147019
680,nan
681,nan
682,nan
683,nan
684,nan
685,nan
686,nan
688,nan
689,nan
690,nan
692,nan
693,nan
694,0.14475
695,nan
696,nan
697,nan
698,nan
699,nan
700,0.477508
701,nan
702,0.138063
703,0.123556
704,nan
705,nan
706,0.174954
707,nan
708,nan
710,nan
712,0.331689
713,nan
714,nan
715,nan
716,nan
717,nan
718,nan
719,nan
720,nan
721,0.229573
722,0.194491
723,0.286871
724,nan
725,nan
726,0.221719
727,nan
728,nan
729,0.153097
730,nan
732,0.332597
733,nan
734,0.515858
735,nan
736,0.647203
738,1.16682
739,0.245795
740,0.181256
741,0.303919
742,0.135561
743,0.143798
744,0.165602
745,nan
746,0.175759
747,nan
748,nan
749,0.150504
750,nan
751,nan
752,nan
753,nan
755,nan
756,0.129202
758,nan
760,nan
761,0.175578
762,0.165682
763,nan
764,nan
765,0.175419
766,0.273114
767,nan
768,0.1919
769,0.258144
770,0.227917
771,nan
772,0.387149
773,nan
774,nan
775,nan
776,nan
777,0.198221
778,0.395743
779,nan
780,nan
781,nan
782,nan
783,nan
785,nan
786,nan
787,nan
788,0.169756
789,nan
791,0.161708
792,nan
793,nan
794,nan
795,nan
796,0.151876
797,nan
798,nan
799,nan
800,nan
801,nan
802,nan
803,nan
804,nan
805,nan
806,nan
807,nan
808,nan
809,nan
811,0.306008
812,nan
813,nan
814,2.29003
815,nan
816,nan
817,nan
818,nan
820,nan
821,nan
823,0.300142
824,nan
825,nan
826,nan
827,22.6114
828,2.67632
829,nan
831,nan
832,nan
834,nan
835,0.45669
836,0.284867
838,nan
840,nan
841,0.378961
842,nan
843,nan
844,0.567127
845,nan
846,nan
847,nan
851,0.229216
852,nan
854,nan
855,nan
856,0.199242
857,nan
859,nan
861,nan
862,nan
863,nan
864,nan
865,nan
871,nan
872,nan
873,nan
874,nan
875,0.192807
876,nan
877,0.228979
878,nan
879,0.530544
880,0.291144
881,nan
882,nan
883,0.339165
884,nan
885,nan
886,nan
888,0.143986
889,0.187907
890,nan
891,0.205343
892,nan
893,0.120384
894,nan
896,0.908903
897,nan
898,nan
900,nan
901,0.177831
903,nan
904,nan
906,nan
908,nan
909,nan
910,nan
911,nan
912,nan
913,nan
914,nan
915,0.18396
916,nan
917,0.189645
918,nan
919,nan
920,nan
921,0.429989
922,0.215689
923,nan
924,0.519379
925,nan
926,0.510265
927,nan
928,nan
929,nan
931,nan
932,0.17486
934,nan
936,1.33558
938,nan
939,0.14127
940,0.343006
941,nan
942,nan
944,0.142986
945,0.183233
946,nan
947,nan
948,0.629435
949,nan
950,nan
951,0.299718
952,0.207273
953,nan
954,nan
955,nan
956,nan
957,nan
958,0.220583
959,nan
960,nan
962,nan
963,nan
964,nan
967,nan
968,nan
969,nan
971,nan
972,0.502557
973,0.3002
974,nan
975,nan
976,nan
977,nan
979,nan
980,0.518512
981,nan
982,nan
983,nan
984,nan
985,nan
986,nan
989,nan
990,nan
992,nan
993,0.12658
995,nan
996,nan
997,nan
998,0.256049
999,nan
1000,nan
1001,nan
1002,0.292789
1003,nan
1004,0.243679
1005,0.145582
1006,0.261031
1007,nan
1009,0.27543
1010,0.364018
1011,nan
1012,0.23903
1013,0.130766
1014,nan
1016,nan
1017,nan
1018,nan
1019,0.177128
1020,0.281836
1021,nan
1022,nan
1023,nan
1024,0.191701
1026,nan
1027,0.183842
1028,nan
1029,nan
1030,0.180067
1031,0.235085
1033,0.537706
1034,nan
1035,0.287084
1036,nan
1037,0.175171
1038,nan
1040,nan
1042,nan
1045,0.325318
1048,nan
1049,nan
1050,nan
1051,nan
1052,nan
1054,nan
1055,0.494341
1056,0.223553
1057,0.259501
1058,nan
1060,nan
1061,nan
1062,nan
1063,nan
1064,0.138343
1066,nan
1067,nan
1070,nan
1071,nan
1072,nan
1074,nan
1075,nan
1076,nan
1077,nan
1078,nan
1079,nan
1080,nan
1081,nan
1082,nan
1083,nan
1084,nan
1085,nan
1086,0.335197
1087,0.330888
1088,0.602918
1089,nan
1090,0.28541
1091,0.337069
1092,nan
1093,nan
1094,0.796432
1095,0.14445
1096,nan
1097,nan
1098,0.246895
1099,0.255042
1100,0.382599
1101,nan
1102,nan
1103,nan
1104,nan
1105,1.01665
1106,nan
1107,0.587388
1108,0.31097
1111,nan
1113,nan
1114,0.324406
1115,0.223651
1116,nan
1117,nan
1119,nan
1120,0.327256
1122,nan
1123,nan
1125,0.248907
1127,nan
1128,0.217196
1130,nan
1132,nan
1134,0.156282
1135,nan
1137,nan
1141,nan
1142,nan
1143,nan
1144,nan
1147,nan
1148,nan
1150,nan
1151,nan
1154,0.112205
1158,14.7559
1161,nan
1162,0.151529
1163,0.234224
1164,nan
1165,0.144343
1166,0.587227
1167,nan
1169,nan
1171,0.250951
1172,nan
1173,nan
1175,0.430688
1176,nan
1177,nan
1178,0.210442
1179,nan
