call_index,time_s,id,unique_information,worst_unexplained_after,alive_after,tau
0,0.611470229,895,0.0751257166,0.124563798,1095,0.300000012
0,0.611470229,559,0.0755573139,0.124564536,1094,0.300000012
0,0.611470229,346,0.0756462365,0.125607252,1093,0.300000012
0,0.611470229,317,0.0760813877,0.128136382,1092,0.300000012
0,0.611470229,473,0.0762389824,0.130377188,1091,0.300000012
0,0.611470229,80,0.0764691308,0.131445825,1090,0.300000012
0,0.611470229,687,0.0765530542,0.131515771,1089,0.300000012
0,0.611470229,511,0.0766613856,0.131517693,1088,0.300000012
0,0.611470229,1053,0.076875329,0.131539062,1087,0.300000012
0,0.611470229,1131,0.0771926492,0.132822841,1086,0.300000012
0,0.611470229,1133,0.0776366219,0.132933095,1085,0.300000012
0,0.611470229,930,0.077970013,0.132984161,1084,0.300000012
0,0.611470229,1041,0.0782100782,0.133034527,1083,0.300000012
0,0.611470229,978,0.0782255828,0.134310901,1082,0.300000012
0,0.611470229,991,0.0786164925,0.135949299,1081,0.300000012
0,0.611470229,759,0.0789992735,0.136876404,1080,0.300000012
0,0.611470229,123,0.0794272348,0.13688235,1079,0.300000012
0,0.611470229,285,0.0795508698,0.145277902,1078,0.300000012
0,0.611470229,489,0.0799960792,0.14532204,1077,0.300000012
0,0.611470229,234,0.0801266283,0.147005945,1076,0.300000012
0,0.611470229,902,0.0805810392,0.148740083,1075,0.300000012
0,0.611470229,272,0.0808278993,0.148742244,1074,0.300000012
0,0.611470229,482,0.0809042603,0.152942508,1073,0.300000012
0,0.611470229,497,0.0809752867,0.153610006,1072,0.300000012
0,0.611470229,1110,0.0812914148,0.153682336,1071,0.300000012
0,0.611470229,848,0.0813006833,0.153784141,1070,0.300000012
0,0.611470229,267,0.0815259293,0.154083446,1069,0.300000012
0,0.611470229,469,0.0816673711,0.154125258,1068,0.300000012
0,0.611470229,517,0.0821405724,0.15416649,1067,0.300000012
0,0.611470229,9,0.0823697969,0.159515128,1066,0.300000012
0,0.611470229,78,0.08289738,0.16110456,1065,0.300000012
0,0.611470229,830,0.0831519067,0.16192016,1064,0.300000012
0,0.611470229,187,0.08325091,0.161937669,1063,0.300000012
0,0.611470229,95,0.0835856944,0.165880471,1062,0.300000012
0,0.611470229,311,0.0840191022,0.167408958,1061,0.300000012
0,0.611470229,40,0.0844890326,0.167419448,1060,0.300000012
0,0.611470229,11,0.0846878439,0.171679631,1059,0.300000012
0,0.611470229,229,0.0850639641,0.174478769,1058,0.300000012
0,0.611470229,1121,0.0854540393,0.175245032,1057,0.300000012
0,0.611470229,754,0.0858378261,0.17785278,1056,0.300000012
0,0.611470229,691,0.0858725458,0.182245642,1055,0.300000012
0,0.611470229,457,0.0864951611,0.182783976,1054,0.300000012
0,0.611470229,1047,0.0870689675,0.183716029,1053,0.300000012
0,0.611470229,186,0.0873397291,0.184702337,1052,0.300000012
0,0.611470229,1039,0.0874475017,0.187584564,1051,0.300000012
0,0.611470229,1159,0.0876531601,0.187595367,1050,0.300000012
0,0.611470229,867,0.0877683833,0.188266233,1049,0.300000012
0,0.611470229,70,0.0878602043,0.192516819,1048,0.300000012
0,0.611470229,1129,0.0881681889,0.193443194,1047,0.300000012
0,0.611470229,321,0.0882911906,0.195260048,1046,0.300000012
0,0.611470229,485,0.088472493,0.197731942,1045,0.300000012
0,0.611470229,1065,0.0885644779,0.198945254,1044,0.300000012
0,0.611470229,453,0.0887097716,0.202708095,1043,0.300000012
0,0.611470229,549,0.0887979865,0.202729061,1042,0.300000012
0,0.611470229,289,0.0891732574,0.205304936,1041,0.300000012
0,0.611470229,356,0.0896428227,0.210032254,1040,0.300000012
0,0.611470229,83,0.0900688469,0.215212598,1039,0.300000012
0,0.611470229,505,0.0904142112,0.215382665,1038,0.300000012
0,0.611470229,632,0.0904225782,0.216280371,1037,0.300000012
0,0.611470229,283,0.0906870961,0.218233839,1036,0.300000012
0,0.611470229,819,0.0912544802,0.220215887,1035,0.300000012
0,0.611470229,99,0.0918659568,0.234814569,1034,0.300000012
0,0.611470229,905,0.0919933841,0.235296115,1033,0.300000012
0,0.611470229,247,0.0924865603,0.240054384,1032,0.300000012
0,0.611470229,442,0.0926882476,0.240583971,1031,0.300000012
0,0.611470229,605,0.0929268822,0.254572719,1030,0.300000012
0,0.611470229,1155,0.0936371833,0.259962976,1029,0.300000012
0,0.611470229,393,0.0938795581,0.260745764,1028,0.300000012
0,0.611470229,837,0.0950801298,0.265995562,1027,0.300000012
0,0.611470229,1059,0.0955201983,0.279858202,1026,0.300000012
0,0.611470229,101,0.0959387571,0.279995054,1025,0.300000012
0,0.611470229,418,0.0963667855,0.280194998,1024,0.300000012
0,0.611470229,535,0.0964947194,0.280200809,1023,0.300000012
0,0.611470229,935,0.0966777354,0.28246817,1022,0.300000012
0,0.611470229,579,0.0971027613,0.284104735,1021,0.300000012
0,0.611470229,709,0.0976627842,0.286234647,1020,0.300000012
0,0.611470229,1126,0.097912617,0.287609547,1019,0.300000012
0,0.611470229,13,0.098333858,0.288253456,1018,0.300000012
0,0.611470229,839,0.0985283181,0.291383713,1017,0.300000012
0,0.611470229,72,0.0987348408,0.294213265,1016,0.300000012
0,0.611470229,586,0.0991650596,0.295641869,1015,0.300000012
0,0.611470229,363,0.0995269939,0.295685858,1014,0.300000012
0,0.611470229,784,0.100900687,0.295875371,1013,0.300000012
0,0.611470229,810,0.101588272,0.295901179,1012,0.300000012
0,0.611470229,582,0.102446906,0.296763957,1011,0.300000012
0,0.611470229,850,0.103405468,0.29958263,1010,0.300000012
0,0.611470229,1140,0.104872629,0.306988627,1009,0.300000012
0,0.611470229,1109,0.105352618,0.307447076,1008,0.300000012
0,0.611470229,542,0.105398417,0.307701439,1007,0.300000012
0,0.611470229,349,0.105563968,0.307843477,1006,0.300000012
0,0.611470229,869,0.107516222,0.314601719,1005,0.300000012
0,0.611470229,593,0.107651889,0.314886928,1004,0.300000012
0,0.611470229,461,0.107707046,0.31660229,1003,0.300000012
0,0.611470229,514,0.108140931,0.320788056,1002,0.300000012
0,0.611470229,1160,0.110760964,0.321890354,1001,0.300000012
0,0.611470229,679,0.110993527,0.328698337,1000,0.300000012
0,0.611470229,737,0.113027267,0.33115527,999,0.300000012
0,0.611470229,887,0.113457471,0.334703386,998,0.300000012
0,0.611470229,907,0.113711759,0.334973842,997,0.300000012
0,0.611470229,647,0.114414796,0.342962801,996,0.300000012
0,0.611470229,450,0.115571044,0.346738428,995,0.300000012
0,0.611470229,339,0.115650199,0.346792936,994,0.300000012
0,0.611470229,569,0.116167955,0.348002046,993,0.300000012
0,0.611470229,961,0.116940193,0.351469219,992,0.300000012
0,0.611470229,430,0.116975278,0.356613219,991,0.300000012
0,0.611470229,1118,0.117504403,0.357174635,990,0.300000012
0,0.611470229,1032,0.117963679,0.359445602,989,0.300000012
0,0.611470229,380,0.118153855,0.359714806,988,0.300000012
0,0.611470229,392,0.119612202,0.363432378,987,0.300000012
0,0.611470229,731,0.124639913,0.364486903,986,0.300000012
0,0.611470229,626,0.127434134,0.364749163,985,0.300000012
0,0.611470229,87,0.128743738,0.365253568,984,0.300000012
0,0.611470229,434,0.129625425,0.366079837,983,0.300000012
0,0.611470229,1025,0.131235778,0.371575624,982,0.300000012
0,0.611470229,565,0.134977013,0.371575713,981,0.300000012
0,0.611470229,711,0.135894477,0.375989348,980,0.300000012
0,0.611470229,402,0.139871374,0.385699779,979,0.300000012
0,0.611470229,578,0.140833154,0.395454675,978,0.300000012
0,0.611470229,943,0.143463656,0.399042785,977,0.300000012
0,0.611470229,822,0.146402925,0.403320223,976,0.300000012
0,0.611470229,310,0.147217408,0.404507816,975,0.300000012
0,0.611470229,534,0.148696035,0.404669553,974,0.300000012
0,0.611470229,116,0.151002273,0.411140621,973,0.300000012
0,0.611470229,294,0.154852778,0.415334791,972,0.300000012
0,0.611470229,1008,0.157761559,0.424886495,971,0.300000012
0,0.611470229,135,0.199236453,0.428891927,970,0.300000012
0,0.611470229,90,0.21977441,0.429427564,969,0.300000012
